#,id,count,id,count
300,8993,17,,
301,9005,9,9005,1
302,9062,38,9062,1
303,9072,16,,
304,9081,39,9081,4
305,9087,18,9087,1
306,9089,37,,
307,9091,36,9091,1
308,9121,10,,
309,9134,44,9134,3
310,9181,8,9181,1
311,9183,8,9183,1
312,9186,18,9186,1
313,9234,14,9234,2
314,9284,22,9284,4
315,9309,85,9309,7
316,9316,32,9316,2
317,9324,25,,
318,9425,52,9425,2
319,9514,6,,
320,9517,25,9517,2
321,9520,16,,
322,9521,16,9521,1
323,9583,46,9583,1
324,9648,30,9648,4
325,9694,50,,
326,9789,13,9789,2
327,9796,41,,
328,9855,16,,
329,9872,26,9872,1
330,9888,17,,
331,9896,20,9896,1
332,9900,20,,
333,9963,44,9963,2
334,9998,21,,
335,10079,12,,
336,10096,15,10096,1
337,10106,15,,
338,10121,10,,
339,10136,20,10136,1
340,10138,42,10138,2
341,10147,19,,
342,10152,51,10152,3
343,10162,22,10162,4
344,10170,31,,
345,10171,48,10171,2
346,10181,10,,
347,10228,15,10228,1
348,10231,31,10231,1
349,10245,9,,
350,10259,40,10259,1
351,10348,21,,
352,10358,6,10358,2
353,10361,32,,
354,10377,18,,
355,10391,28,,
356,10435,26,,
357,10436,33,,
358,10467,8,10467,1
359,10482,46,10482,4
360,10542,36,10542,2
361,10572,36,,
362,10630,23,,
363,10650,10,,
364,10654,9,,
365,10664,10,,
366,10784,14,,
367,10817,6,,
368,10923,11,,
369,10928,29,,
370,10950,21,,
371,10962,33,10962,2
372,11002,18,11002,1
373,11074,9,,
374,11114,10,11114,1
375,11115,12,,
376,11117,33,11117,2
377,11190,87,11190,1
378,11243,29,,
379,11265,42,11265,5
380,11308,39,,
381,11345,9,,
382,11347,15,,
383,11350,25,,
384,11365,65,11365,5
385,11383,27,11383,2
386,11414,29,11414,3
387,11467,10,11467,2
388,11537,39,11537,4
389,11554,18,11554,1
390,11591,6,,
391,11620,25,11620,7
392,11625,29,,
393,11634,97,11634,3
394,11653,13,11653,1
395,11655,12,11655,1
396,11666,34,,
397,11672,15,,
398,11680,37,11680,2
399,11713,56,,
400,11790,24,,
401,11796,14,11796,1
402,11801,7,,
403,11826,8,,
404,11847,37,,
405,12000,21,,
406,12001,5,,
407,12015,18,,
408,12017,30,12017,1
409,12042,10,,
410,12085,25,12085,2
411,12087,14,,
412,12103,19,12103,1
413,12139,18,12139,1
414,12155,9,,
415,12159,61,12159,1
416,12197,13,,
417,12209,18,12209,1
418,12212,23,,
419,12257,9,12257,1
420,12308,30,,
421,12319,34,12319,3
422,12335,17,,
423,12360,47,12360,2
424,12388,7,,
425,12434,14,,
426,12478,95,12478,2
427,12479,69,,
428,12491,70,,
429,12524,23,12524,3
430,12550,29,,
431,12645,9,12645,1
432,12651,16,12651,2
433,12679,23,,
434,12692,21,,
435,12763,22,12763,1
436,12923,20,,
437,12930,26,,
438,12931,19,,
439,12932,41,,
440,12934,7,12934,1
441,12989,18,12989,1
442,13010,13,,
443,13055,17,,
444,13065,22,13065,2
445,13095,98,13095,1
446,13125,13,13125,2
447,13134,15,13134,2
448,13193,6,13193,1
449,13241,21,,
450,13272,22,13272,1
451,13309,48,,
452,13312,30,13312,2
453,13326,33,13326,4
454,13336,33,,
455,13350,12,,
456,13361,46,,
457,13391,91,13391,2
458,13414,7,,
459,13415,31,13415,3
460,13417,40,13417,4
461,13420,51,13420,3
462,13424,31,13424,1
463,13434,44,,
464,13459,24,13459,6
465,13606,20,13606,1
466,13612,56,13612,4
467,13629,32,13629,7
468,13637,25,,
469,13650,21,13650,2
470,13685,8,,
471,13691,19,,
472,13736,11,,
473,13776,26,13776,1
474,13777,45,13777,1
475,13788,107,13788,11
476,13857,4,,
477,13872,41,13872,3
478,13933,13,13933,1
479,13942,14,,
480,13948,27,,
481,13999,35,,
482,14017,15,14017,2
483,14045,46,14045,3
484,14058,43,,
485,14125,17,,
486,14158,3,,
487,14200,24,,
488,14220,28,,
489,14241,32,14241,1
490,14283,21,,
491,14316,23,,
492,14339,10,14339,1
493,14399,28,14399,4
494,14433,8,,
495,14442,56,14442,1
496,14443,14,14443,1
497,14476,16,,
498,14492,6,,
499,14513,32,,
500,14538,32,14538,2
501,14577,18,,
502,14630,70,14630,4
503,14634,10,14634,2
504,14665,18,,
505,14684,33,14684,1
506,14687,10,,
507,14731,38,14731,3
508,14763,22,14763,1
509,14852,6,14852,1
510,14856,17,,
511,14956,7,,
512,15032,23,,
513,15081,29,15081,1
