id,gender,race,appointed_date,active,complaint_percentile,civilian_allegation_percentile,last_unit_id,crid,incident_date,point,beat_id,location,allegation_category_id,disciplined,crew_id
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C192014,1992-05-01 00:00:00+00,0101000020E6100000A532C51C04E555C0A7E03A10A3E14440,,"",71,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C190628,1992-02-24 00:00:00+00,0101000020E6100000F283A91C49E655C0F4103235AEE04440,,"",71,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C190606,1992-02-24 00:00:00+00,0101000020E6100000F283A91C49E655C0F4103235AEE04440,,"",101,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C188598,1991-10-26 00:00:00+00,0101000020E6100000719B5F83F4E955C069FE98D6A6FD4440,,"",205,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C186303,1991-08-06 00:00:00+00,0101000020E6100000F71E2E39EEE755C0B39AAE27BAE24440,,"",31,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C185683,1991-07-07 00:00:00+00,0101000020E61000006E69DA6A7BE455C087FE092E56E24440,,"",71,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C185612,1991-07-10 00:00:00+00,0101000020E6100000CF071566EBE455C0DD877258D0E24440,,"",71,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,1012739,2006-01-06 00:00:00+00,0101000020E61000006C239EEC66EC55C056F54DF5BFF04440,127,Public Way - Other,72,false,1288
372,F,Black,1986-12-22,No,66.4323,32.3899,152,C232745,1996-12-10 00:00:00+00,0101000020E61000007F83F6EA63E855C07677F8C66BE64440,,"",91,true,1288
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1003391,2007-02-12 00:00:00+00,0101000020E61000003C99243BDBE355C04F8AA07B20E14440,222,Public Way - Other,98,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,297776,2004-05-07 00:00:00+00,0101000020E610000014799274CDE655C02B137EA99FE34440,277,Public Way - Other,71,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1080652,2016-05-24 00:00:00+00,0101000020E610000099092BBA9AEA55C06C58F89FA1E64440,114,Public Way - Other,,,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1073190,2014-12-29 00:00:00+00,,208,Private Residence,71,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1072651,2014-11-21 00:00:00+00,0101000020E6100000BB0F406A13EA55C034A0DE8C9AE14440,213,Public Way - Other,75,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1070423,2014-07-18 00:00:00+00,,272,Private Residence,75,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1069940,2014-06-20 00:00:00+00,,209,Private Residence,75,,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1068744,2014-04-21 00:00:00+00,,207,Private Residence,72,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1068573,2014-04-13 00:00:00+00,0101000020E6100000A3474211C1E455C04BA2A87D84E24440,264,Public Way - Other,70,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1068270,2014-03-28 00:00:00+00,,,Private Residence,99,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1062184,2013-05-03 00:00:00+00,0101000020E61000009091A284CFE555C00F4B5EF81CE14440,225,Public Way - Other,204,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1059845,2013-01-26 00:00:00+00,0101000020E6100000A6C28EB5F5E755C032755776C1E44440,269,Public Way - Other,216,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1039578,2010-09-05 00:00:00+00,0101000020E610000084CA0924F2E755C085D0419770E54440,117,Public Way - Other,71,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1039024,2010-08-16 00:00:00+00,0101000020E610000071E481C822E855C01686C8E9EBE54440,269,Public Way - Other,108,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1034375,2010-03-07 00:00:00+00,0101000020E61000004C5AA780EAE455C07F1C284B08E24440,215,Other Business Establishment,70,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1034089,2010-02-23 00:00:00+00,0101000020E6100000CF5EC7C98EE455C0AAE8595A57E24440,264,Public Way - Other,70,false,1393
403,M,Black,2003-10-27,Yes,95.3192,95.3957,4,1032366,2009-12-07 00:00:00+00,,209,Private Residence,71,false,1393
